guid,expected_manager,worker_manager,status
fe44694a-10ed-f011-8406-0022481ba5f0,Менеджер 11,Менеджер 11,match
f79259e3-9cf2-f011-8406-0022481ba51f,Менеджер 29,Менеджер 29,match
da158b87-f1e9-f011-8406-0022481ba5f0,Менеджер 42,Менеджер 42,match
d8dcd8f8-b4eb-f011-8406-0022481ba388,Менеджер 19,Менеджер 19,match
cc75c0da-e907-f111-8407-0022481bac13,None,Менеджер 28,mismatch
c577d3fd-dafc-f011-8406-0022481ba139,Менеджер 13,Менеджер 22,mismatch
c27f8c40-1ff5-f011-8406-0022481ba15f,Менеджер 1,Менеджер 1,match
be5a4633-fe0a-f111-8407-0022481ba5f0,Менеджер 6,Менеджер 47,mismatch
bb54127b-4ef1-f011-8406-0022481ba654,None,Менеджер 39,mismatch
ba61a4e7-f0f1-f011-8406-0022481ba51f,Менеджер 10,Менеджер 18,mismatch
b44f142b-78c5-4573-9bde-fe0780b2e028,Менеджер 14,Менеджер 14,match
b135ab3e-b8ef-f011-8406-0022481ba303,Менеджер 44,Менеджер 27,mismatch
a9f07a3d-a905-f111-8407-0022481baec1,Менеджер 20,Менеджер 20,match
a154a8e6-439d-4a7b-86e8-56ef94b18ee2,Менеджер 42,Менеджер 42,match
9c0a1f1e-6702-f111-8407-0022481ba15f,Менеджер 44,Менеджер 44,match
8de250d3-eef5-f011-8406-0022481bac13,Менеджер 47,Менеджер 6,mismatch
85c96430-f0e9-f011-8406-0022481ba51f,Менеджер 18,Менеджер 11,mismatch
80c6ed25-45f0-f011-8406-0022481ba5f0,Менеджер 17,Менеджер 17,match
6f860ff9-cc01-f111-8407-0022481ba3d1,Менеджер 42,Менеджер 42,match
6f129f43-ecfa-f011-8406-0022481bad7e,Менеджер 18,Менеджер 15,mismatch
68086831-220b-f111-8407-0022481baa2c,Менеджер 23,Менеджер 23,match
6396447c-daf1-f011-8406-0022481ba303,Менеджер 3,Менеджер 14,mismatch
5d29d98c-55fb-f011-8406-0022481baa2c,Менеджер 9,Менеджер 47,mismatch
591d3e1d-ebf8-f011-8406-0022481ba046,Менеджер 27,Менеджер 27,match
493fd23b-ad01-f111-8407-0022481baec1,None,Менеджер 18,mismatch
4071842c-10df-f011-8406-0022481ba2e6,Менеджер 21,Менеджер 21,match
3692ae0e-f5ef-f011-8406-0022481ba5f0,Менеджер 6,Менеджер 6,match
2a99d51e-7dfb-f011-8406-0022481bac13,Менеджер 37,Менеджер 14,mismatch
16a8690e-4aec-f011-8406-0022481bad7e,Менеджер 22,,mismatch
136d32a0-bafd-f011-8406-0022481ba51f,Менеджер 3,Менеджер 37,mismatch
117af0c4-cb00-f111-8407-0022481ba51f,Менеджер 22,,mismatch
